127.0.0.1, 2019-09-07 23:39:55, GET, /, HTTP/1.1, 303, 0.002991
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/default/index, HTTP/1.1, 200, 2.292154
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001994
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001008
127.0.0.1, 2019-09-07 23:39:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001010
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/default/index, HTTP/1.1, 200, 0.226523
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000996
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.002005
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.002992
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003991
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002991
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002991
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001996
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003988
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001993
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.001993
127.0.0.1, 2019-09-07 23:40:00, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.001994
127.0.0.1, 2019-09-07 23:40:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-07 23:40:04, POST, /admin/default/index, HTTP/1.1, 303, 0.045878
127.0.0.1, 2019-09-07 23:40:04, GET, /admin/default/site, HTTP/1.1, 200, 0.055886
127.0.0.1, 2019-09-07 23:40:04, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.002927
127.0.0.1, 2019-09-07 23:40:04, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.002993
127.0.0.1, 2019-09-07 23:40:04, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002993
127.0.0.1, 2019-09-07 23:40:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.669014
127.0.0.1, 2019-09-07 23:40:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-07 23:40:29, GET, /admin/default/index, HTTP/1.1, 303, 0.020944
127.0.0.1, 2019-09-07 23:40:29, GET, /admin/default/site, HTTP/1.1, 200, 0.031947
127.0.0.1, 2019-09-07 23:40:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-07 23:40:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.028910
127.0.0.1, 2019-09-07 23:40:52, GET, /admin/default/index, HTTP/1.1, 303, 0.016953
127.0.0.1, 2019-09-07 23:40:52, GET, /admin/default/site, HTTP/1.1, 200, 0.047872
127.0.0.1, 2019-09-07 23:40:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000995
127.0.0.1, 2019-09-07 23:40:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.032923
127.0.0.1, 2019-09-07 23:41:02, GET, /admin/default/index, HTTP/1.1, 303, 0.016952
127.0.0.1, 2019-09-07 23:41:02, GET, /admin/default/site, HTTP/1.1, 200, 0.037930
127.0.0.1, 2019-09-07 23:41:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-07 23:44:56, GET, /, HTTP/1.1, 303, 0.001995
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.041898
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000997
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000996
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001984
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000996
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000996
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000996
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000999
127.0.0.1, 2019-09-07 23:44:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2019-09-07 23:45:03, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2019-09-07 23:45:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.041888
127.0.0.1, 2019-09-07 23:45:03, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-09-07 23:45:06, GET, /admin/default/index, HTTP/1.1, 303, 0.015959
127.0.0.1, 2019-09-07 23:45:06, GET, /admin/default/site, HTTP/1.1, 200, 0.034937
127.0.0.1, 2019-09-07 23:45:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2019-09-07 23:45:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.021947
127.0.0.1, 2019-09-07 23:45:44, GET, /admin/default/index, HTTP/1.1, 303, 0.040889
127.0.0.1, 2019-09-07 23:45:44, GET, /admin/default/site, HTTP/1.1, 200, 0.077788
127.0.0.1, 2019-09-07 23:45:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000977
127.0.0.1, 2019-09-07 23:45:57, POST, /admin/default/site, HTTP/1.1, 303, 1.368087
127.0.0.1, 2019-09-07 23:45:58, GET, /admin/default/design/movie_recommender, HTTP/1.1, 200, 0.249333
127.0.0.1, 2019-09-07 23:45:58, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.003989
127.0.0.1, 2019-09-07 23:45:58, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.005983
127.0.0.1, 2019-09-07 23:45:58, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.001995
127.0.0.1, 2019-09-07 23:45:58, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.001995
127.0.0.1, 2019-09-07 23:45:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-09-07 23:46:04, GET, /admin/default/site, HTTP/1.1, 200, 0.052855
127.0.0.1, 2019-09-07 23:46:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-07 23:46:11, GET, /admin/default/uninstall/movie_recommender, HTTP/1.1, 200, 0.061836
127.0.0.1, 2019-09-07 23:46:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-07 23:46:14, POST, /admin/default/uninstall/movie_recommender, HTTP/1.1, 303, 0.296015
127.0.0.1, 2019-09-07 23:46:14, GET, /admin/default/site, HTTP/1.1, 200, 0.026923
127.0.0.1, 2019-09-07 23:46:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000995
127.0.0.1, 2019-09-07 23:46:52, GET, /admin/default/uninstall/movie_recommender, HTTP/1.1, 303, 0.036902
127.0.0.1, 2019-09-07 23:46:52, GET, /admin/default/site, HTTP/1.1, 200, 0.060837
127.0.0.1, 2019-09-07 23:46:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000995
